vl_total_vendas;qtd_unidades_antigas;qtd_unidades_vendidas;vl_total_custo;qtd_clientes;sk_loja;sk_produto;sk_calendario;sk_divulgacao
250.84;99;99;220.91;72;11;14;31;1
118.13;70;70;100.3;64;20;14;31;1
127.14;75;75;106.78;72;2;15;31;1
289.04;76;76;249.18;40;9;15;31;1
150.97;60;60;132.12;38;12;15;31;1
14.22;21;21;12.61;13;4;17;31;1
71.97;70;70;63.73;69;13;17;31;1
97.48;63;63;84.99;52;14;17;31;1
66.96;97;97;60.0;94;2;18;31;1
72.93;70;70;64.89;52;8;18;31;1
62.27;40;40;52.69;23;14;18;31;1
124.55;74;74;102.8;59;16;19;31;1
121.11;48;48;97.91;39;17;19;31;1
350.25;92;92;296.19;74;19;19;31;1
617.14;194;194;499.68;136;3;1;33;1
97.92;58;58;87.97;47;13;1;33;1
11.88;24;24;10.44;19;1;2;33;1
53.37;73;73;45.2;69;4;2;33;1
59.73;54;54;50.06;31;20;2;33;1
6.48;13;13;5.7;10;4;3;33;1
69.04;63;63;55.43;61;16;3;33;1
26.87;37;37;24.06;28;18;3;33;1
101.62;98;98;85.75;70;1;4;33;1
49.33;71;71;43.51;63;6;4;33;1
146.67;94;94;128.52;73;16;4;33;1
124.66;74;74;106.17;61;7;5;33;1
339.33;89;89;304.43;87;13;5;33;1
49.52;20;20;41.26;12;18;5;33;1
0.16;0;0;0.14;0;5;6;33;1
19.74;22;22;15.88;14;9;6;33;1
109.73;83;83;98.43;80;12;6;33;1
67.87;92;92;54.95;60;4;10;33;1
38.64;79;79;31.8;70;10;10;33;1
91.79;83;83;82.17;67;13;10;33;1
52.48;34;34;43.2;23;2;11;33;1
26.05;38;38;21.89;21;7;11;33;1
102.42;99;99;86.2;64;16;11;33;1
68.56;77;77;59.91;72;4;12;33;1
38.43;29;29;33.93;27;6;12;33;1
40.82;69;69;36.7;65;18;12;33;1
6.0;7;7;5.34;6;4;13;33;1
21.25;16;16;17.43;14;11;13;33;1
40.35;68;68;33.82;62;17;13;33;1
88.15;35;35;70.64;31;3;14;33;1
147.93;88;88;124.93;80;4;14;33;1
205.3;54;54;180.65;47;20;14;33;1
200.23;79;79;166.36;71;5;15;33;1
348.7;92;92;295.56;50;13;15;33;1
125.36;74;74;105.78;40;20;15;33;1
49.13;83;83;40.15;80;1;16;33;1
160.86;149;149;132.89;103;16;16;33;1
4.6;7;7;3.91;4;1;17;33;1
72.14;70;70;57.77;59;18;17;33;1
102.56;66;66;83.17;55;20;17;33;1
95.46;92;92;78.48;64;8;18;33;1
131.29;85;85;110.59;84;11;18;33;1
62.95;91;91;50.5;87;18;18;33;1
145.33;86;86;117.1;56;1;19;33;1
157.82;62;62;137.32;55;2;19;33;1
356.69;94;94;305.92;78;3;19;33;1
55.59;94;94;44.86;55;3;20;33;1
58.08;66;66;47.25;52;12;20;33;1
14.23;11;11;12.81;10;16;20;33;1
357.41;94;94;306.25;56;3;1;154;1
134.06;79;79;115.16;75;5;1;154;1
120.59;48;48;102.38;34;19;1;154;1
28.78;39;39;23.84;36;17;2;154;1
41.73;85;85;33.7;51;18;2;154;1
52.2;47;47;42.55;29;20;2;154;1
97.01;88;88;78.7;87;2;3;154;1
1.6;2;2;1.37;1;9;3;154;1
35.18;72;72;29.49;45;15;3;154;1
161.77;148;148;134.9;95;2;4;154;1
48.97;47;47;41.64;26;12;4;154;1
113.42;67;67;100.56;55;5;5;154;1
90.11;24;24;75.61;17;14;5;154;1
174.51;69;69;142.3;48;20;5;154;1
14.15;16;16;12.63;13;13;6;154;1
35.86;61;61;31.05;48;15;6;154;1
116.46;88;88;96.78;85;16;6;154;1
97.01;88;88;83.53;76;11;10;154;1
66.61;120;120;53.99;115;18;10;154;1
82.61;53;53;67.16;35;6;11;154;1
59.22;86;86;49.73;57;14;11;154;1
16.92;16;16;14.85;9;15;11;154;1
54.32;61;61;48.13;33;1;12;154;1
26.87;20;20;22.45;20;8;12;154;1
6.78;11;11;5.59;7;10;12;154;1
22.16;38;38;18.65;35;3;13;154;1
71.63;81;81;59.7;77;12;13;154;1
75.29;57;57;66.67;41;14;13;154;1
218.31;86;86;181.17;55;12;14;154;1
260.28;68;68;219.29;68;13;14;154;1
29.8;18;18;25.4;17;15;14;154;1
121.27;32;32;99.2;29;14;15;154;1
79.67;47;47;63.76;34;15;15;154;1
94.67;37;37;80.17;26;16;15;154;1
81.21;92;92;67.93;80;4;16;154;1
67.18;51;51;60.32;29;19;16;154;1
24.23;41;41;21.0;27;20;16;154;1
49.98;48;48;44.43;44;3;17;154;1
31.31;45;45;26.31;40;4;17;154;1
81.05;52;52;68.01;27;13;17;154;1
102.1;99;99;82.5;56;3;18;154;1
13.69;20;20;12.07;14;16;18;154;1
65.0;42;42;56.46;33;17;18;154;1
340.9;103;103;297.45;94;4;19;154;1
61.73;37;37;55.41;28;14;19;154;1
96.02;72;72;79.89;41;9;20;154;1
73.17;95;95;59.46;58;11;20;154;1
135.04000000000002;44;44;111.67;43;3;1;62;1
124.31;74;74;106.85;60;4;1;62;1
6.72;6;6;5.7;3;7;2;62;1
56.21;76;76;47.28;75;8;2;62;1
5.32;11;11;4.65;7;14;2;62;1
43.2;59;59;38.02;55;1;3;62;1
71.03;64;64;63.44;64;11;3;62;1
46.85;96;96;39.49;66;20;3;62;1
57.1;83;83;45.78;50;5;4;62;1
85.33;55;55;70.79;40;10;4;62;1
30.83;30;30;27.18;22;17;4;62;1
23.63;9;9;19.89;7;6;5;62;1
103.86;27;27;92.94;24;14;5;62;1
12.42;7;7;10.01;7;18;5;62;1
107.76;81;81;88.38;61;12;6;62;1
42.72;48;48;35.28;48;14;6;62;1
26.11;44;44;23.29;39;16;6;62;1
49.95;68;68;42.23;50;1;10;62;1
21.77;44;44;19.31;25;9;10;62;1
43.21;39;39;37.67;26;12;10;62;1
62.25;90;90;54.23;61;1;11;62;1
84.69;82;82;72.62;69;4;11;62;1
14.12;9;9;12.03;9;14;11;62;1
91.56;69;69;73.35;68;7;12;62;1
67.96;77;77;54.93;59;14;12;62;1
2.98;5;5;2.43;5;15;12;62;1
13.52;23;23;10.93;17;10;13;62;1
62.14;47;47;52.01;37;13;13;62;1
8.26;9;9;6.7;9;20;13;62;1
6.6;4;4;5.78;2;2;14;62;1
207.29;82;82;174.24;52;7;14;62;1
68.57;18;18;57.21;12;13;14;62;1
104.09;41;41;84.94;35;15;15;62;1
151.86;40;40;128.83;36;17;15;62;1
8.46;5;5;7.23;3;20;15;62;1
12.21;21;21;9.98;17;3;16;62;1
45.25;51;51;38.03;38;6;16;62;1
21.56;16;16;19.03;11;17;16;62;1
56.64;82;82;47.89;54;3;17;62;1
8.8;9;9;7.54;8;13;17;62;1
68.46;44;44;59.59;37;18;17;62;1
16.05;23;23;13.65;14;2;18;62;1
73.31;71;71;58.76;45;8;18;62;1
149.77;96;96;126.82;61;15;18;62;1
119.52;47;47;100.03;34;5;19;62;1
143.07999999999998;61;61;120.83;47;17;19;62;1
15.66;27;27;13.43;18;8;20;62;1
27.87;21;21;24.52;18;13;20;62;1
48.01;54;54;41.14;36;19;20;62;1
206.95;54;54;171.15;47;3;1;90;1
26.09;10;10;23.02;6;5;1;90;1
74.07;44;44;63.07;38;19;1;90;1
72.3;98;98;65.0;72;2;2;90;1
56.97;52;52;49.37;32;15;2;90;1
40.11;82;82;32.88;80;18;2;90;1
98.14;89;89;87.23;77;2;3;90;1
54.5;74;74;45.46;62;9;3;90;1
38.38;78;78;34.45;63;12;3;90;1
21.29;21;21;18.54;19;2;4;90;1
39.26;25;25;32.24;14;11;4;90;1
21.51;31;31;17.55;18;17;4;90;1
2.58;2;2;2.15;1;1;5;90;1
98.1;26;26;87.87;17;9;5;90;1
66.8;26;26;57.51;25;20;5;90;1
5.97;7;7;5.2;6;14;6;90;1
16.57;12;12;14.4;12;15;6;90;1
37.99;64;64;30.42;51;19;6;90;1
33.19;45;45;27.61;29;1;10;90;1
38.36;78;78;30.85;76;3;10;90;1
7.39;7;7;6.12;5;17;10;90;1
33.18;21;21;28.81;15;2;11;90;1
67.57;91;91;55.97;66;14;11;90;1
43.54;74;74;37.48;65;2;12;90;1
33.67;38;38;28.2;32;15;12;90;1
33.97;26;26;29.99;17;16;12;90;1
17.22;29;29;14.54;28;3;13;90;1
25.1;28;28;21.05;14;12;13;90;1
107.2;81;81;95.89;51;15;13;90;1
3.02;1;1;2.48;1;2;14;90;1
131.47;78;78;110.5;68;5;14;90;1
9.13;2;2;7.96;2;11;14;90;1
160.21;63;63;132.68;53;1;15;90;1
105.94;28;28;93.24;27;7;15;90;1
167.74;99;99;148.28;70;13;15;90;1
54.97;93;93;46.48;65;5;16;90;1
73.12;55;55;58.99;38;6;16;90;1
84.05;95;95;67.52;93;13;16;90;1
15.03;22;22;13.25;16;4;17;90;1
83.52;54;54;72.64;42;10;17;90;1
83.32;80;80;69.86;58;17;17;90;1
16.12;16;16;14.06;9;9;18;90;1
36.14;23;23;32.01;20;10;18;90;1
27.66;40;40;23.45;36;18;18;90;1
59.94;24;24;53.51;22;2;19;90;1
43.7;11;11;35.35;9;8;19;90;1
114.32;68;68;95.51;67;13;19;90;1
21.75;37;37;18.78;28;1;20;90;1
109.52;83;83;92.52;81;2;20;90;1
50.85;57;57;41.23;34;13;20;90;1
97.65;58;58;87.66;36;3;1;107;1
301.12;79;79;246.41;63;4;1;107;1
203.51;80;80;176.89;73;9;1;107;1
98.89;90;90;85.22;52;5;2;107;1
32.6;67;67;27.68;38;7;2;107;1
21.22;29;29;17.91;18;15;2;107;1
45.55;93;93;39.87;55;2;3;107;1
12.42;11;11;10.61;9;13;3;107;1
32.81;45;45;28.65;23;17;3;107;1
80.0;77;77;70.96;54;3;4;107;1
174.79;137;137;145.93;122;16;4;107;1
35.56;27;27;31.33;17;1;6;107;1
87.18;99;99;76.62;88;9;6;107;1
34.98;59;59;29.68;45;15;6;107;1
1.43;3;3;1.26;3;3;10;107;1
109.34;99;99;91.14;84;9;10;107;1
50.76;69;69;42.68;40;13;10;107;1
39.2;38;38;33.24;32;15;11;107;1
142.71;92;92;127.71;68;16;11;107;1
8.29;12;12;7.12;10;19;11;107;1
43.13;68;68;37.46;38;6;12;107;1
62.16;47;47;55.93;35;13;12;107;1
36.7;62;62;30.07;54;7;13;107;1
76.76;87;87;68.13;82;11;13;107;1
85.02;64;64;70.29;36;20;13;107;1
14.27;16;16;11.61;14;2;16;107;1
63.4;48;48;52.06;37;6;16;107;1
45.42;66;66;39.14;50;14;17;107;1
137.5;89;89;122.05;70;17;17;107;1
13.01;13;13;10.94;11;19;17;107;1
37.2;54;54;30.82;53;4;18;107;1
34.98;23;23;29.29;22;7;18;107;1
26.9;26;26;24.17;26;17;18;107;1
5.02;4;4;4.25;3;6;20;107;1
58.52;99;99;48.11;71;9;20;107;1
77.53;88;88;64.79;67;14;20;107;1
229.47;91;91;189.14;83;3;1;39;1
59.96;35;35;49.75;21;6;1;39;1
268.33;71;71;225.94;69;13;1;39;1
79.22;72;72;67.27;41;1;2;39;1
32.58;66;66;27.98;41;14;2;39;1
46.74;64;64;39.68;57;18;2;39;1
19.22;26;26;16.29;22;1;3;39;1
44.86;92;92;40.0;46;8;3;39;1
49.84;45;45;39.95;39;17;3;39;1
98.03;63;63;85.41;33;7;4;39;1
48.46;47;47;38.78;24;10;4;39;1
1.46;2;2;1.28;2;14;4;39;1
165.29;65;65;132.81;42;3;5;39;1
379.61;100;100;309.33;78;14;5;39;1
56.57;33;33;45.66;27;18;5;39;1
70.21;79;79;62.57;70;2;6;39;1
0.85;1;1;0.71;1;3;6;39;1
7.64;6;6;6.78;4;11;6;39;1
28.39;58;58;25.53;42;7;10;39;1
47.18;64;64;39.74;46;16;10;39;1
46.35;42;42;41.41;29;18;10;39;1
31.39;45;45;25.7;45;15;11;39;1
223.66000000000005;172;172;196.08;155;17;11;39;1
97.1;136;136;83.18;111;2;12;39;1
57.67;43;43;51.36;43;20;12;39;1
50.19;85;85;41.8;77;3;13;39;1
33.9;26;26;29.48;15;5;13;39;1
42.34;48;48;35.81;27;12;13;39;1
331.4;87;87;270.86;52;5;14;39;1
385.62;183;183;316.53;110;11;14;39;1
46.84;12;12;37.78;12;3;15;39;1
82.11;32;32;73.0;30;5;15;39;1
50.71;30;30;40.93;22;8;15;39;1
66.72;50;50;54.23;32;11;16;39;1
30.08;51;51;24.8;42;13;16;39;1
37.22;42;42;32.58;34;15;16;39;1
0.08;0;0;0.07;0;15;17;39;1
98.15;63;63;82.1;61;17;17;39;1
31.73;31;31;26.2;29;19;17;39;1
56.07;36;36;46.53;21;4;18;39;1
60.65;88;88;53.64;64;6;18;39;1
56.04;54;54;46.83;32;14;18;39;1
39.94;16;16;35.14;10;6;19;39;1
124.8;74;74;100.38;57;15;19;39;1
177.98;47;47;158.8;44;16;19;39;1
30.91;52;52;26.16;31;2;20;39;1
158.69;149;149;138.73000000000002;142;6;20;39;1
369.17;97;97;313.83;67;3;1;45;1
114.34;68;68;95.37;44;7;1;45;1
18.33;7;7;15.77;6;9;1;45;1
1.85;4;4;1.51;3;1;2;45;1
69.75;95;95;55.87;67;6;2;45;1
54.7;50;50;48.06;47;15;2;45;1
21.5;44;44;17.97;25;9;3;45;1
31.72;29;3;26.91;27;14;3;45;1
20.93;28;28;18.07;21;16;3;45;1
269.77;71;71;225.1;66;2;5;45;1
218.3;86;86;183.44;66;15;5;45;1
92.01;54;54;76.9;29;18;5;45;1
7.04;5;5;5.92;4;2;6;45;1
25.19;43;43;21.98;41;11;6;45;1
0.8;1;1;0.7;0;16;6;45;1
71.77;65;65;62.33;40;10;10;45;1
43.24;59;2;36.54;46;14;10;45;1
41.24;84;84;34.51;75;17;10;45;1
20.31;15;15;17.68;14;2;12;45;1
43.29;73;73;34.9;61;9;12;45;1
83.32;94;94;72.68;62;14;12;45;1
66.98;76;76;56.6;47;11;13;45;1
115.65;87;87;103.24;75;13;13;45;1
53.84;91;91;44.51;60;14;13;45;1
97.81;58;58;80.73;40;9;14;45;1
60.29;16;16;48.53;11;12;14;45;1
156.8;62;62;134.89;45;15;14;45;1
243.92;96;96;212.44;88;6;15;45;1
165.83;98;98;137.49;67;7;15;45;1
46.69;12;12;41.34;10;13;15;45;1
127.9;96;96;112.22;63;4;16;45;1
53.36;90;90;46.51;80;9;16;45;1
47.68;54;54;41.18;38;10;16;45;1
375.22;139;139;312.36;95;4;19;45;1
41.79;31;31;36.91;23;8;20;45;1
16.26;28;28;13.89;25;12;20;45;1
24.76;28;28;21.59;17;15;20;45;1
187.77;74;74;156.42;59;3;1;181;1
145.6;38;38;122.68;26;13;1;181;1
9.28;5;5;7.96;5;20;1;181;1
43.72;59;59;35.92;48;7;2;181;1
99.77;90;90;86.6;50;8;2;181;1
36.13;74;74;30.57;39;10;2;181;1
32.51;44;44;28.33;40;7;3;181;1
10.79;10;10;9.16;9;10;3;181;1
3.1;6;6;2.73;4;12;3;181;1
33.26;13;13;26.64;12;3;5;181;1
296.72;78;78;260.26;75;9;5;181;1
139.74;83;83;124.67;58;17;5;181;1
75.02;85;85;64.39;45;13;6;181;1
93.27;70;70;78.9;50;16;6;181;1
46.13;78;78;38.39;55;19;6;181;1
17.55;36;36;14.31;30;2;10;181;1
81.28;97;97;68.59;57;8;10;181;1
43.43;49;49;37.95;49;2;12;181;1
17.4;13;13;15.31;12;5;12;181;1
53.39;90;90;44.72;87;15;12;181;1
1.53;3;3;1.35;2;5;13;181;1
11.39;13;13;9.19;9;8;13;181;1
90.66;68;68;76.46;56;20;13;181;1
94.68;37;37;78.9;37;10;14;181;1
25.51;15;15;20.83;8;14;14;181;1
329.5;87;87;283.94;81;16;14;181;1
163.83;97;97;133.97;77;2;15;181;1
595.91;186;186;498.82;127;18;15;181;1
57.58;65;65;50.83;49;6;16;181;1
87.86;97;97;73.57000000000001;66;20;16;181;1
134.74;35;35;120.86;24;16;19;181;1
115.89;69;69;98.84;63;18;19;181;1
154.16;61;61;134.27;56;19;19;181;1
130.92;106;106;107.46;79;2;20;181;1
18.2;31;31;15.29;25;5;20;181;1
223.93;59;59;184.76;52;3;1;72;1
56.09;33;33;45.8;27;5;1;72;1
51.09;20;20;44.96;13;18;1;72;1
0.07;0;0;0.06;0;4;2;72;1
38.83;35;35;32.73;18;8;2;72;1
2.99;4;4;2.59;3;15;2;72;1
83.84;77;77;71.47;72;1;3;72;1
56.18;76;76;46.29;45;2;3;72;1
115.7;68;68;95.22;35;5;5;72;1
251.02;99;99;201.5;61;19;5;72;1
142.93;38;38;118.96;32;20;5;72;1
19.29;22;22;16.35;14;1;6;72;1
16.23;28;28;13.65;22;2;6;72;1
101.28;76;76;85.5;64;10;6;72;1
47.85;98;98;41.02;50;2;10;72;1
22.13;30;30;18.25;15;3;10;72;1
39.79;36;36;35.41;21;10;10;72;1
109.81;142;142;90.71;108;9;12;72;1
109.12;82;82;87.44;81;16;12;72;1
5.65;4;4;4.53;2;6;13;72;1
16.64;28;28;14.13;25;16;13;72;1
80.31;91;91;69.53;72;18;13;72;1
125.86;52;52;103.78;44;1;14;72;1
325.79;86;86;275.17;80;15;14;72;1
34.06;13;13;29.29;13;1;15;72;1
206.35;54;54;181.83;49;8;15;72;1
44.72;26;26;36.4;14;14;15;72;1
17.61;30;30;15.33;28;9;16;72;1
39.58;30;30;35.61;21;11;16;72;1
87.64;99;99;70.79;68;13;16;72;1
80.48;32;32;70.4;25;5;19;72;1
250.59;66;66;208.6;45;8;19;72;1
12.95;8;8;10.97;6;10;19;72;1
75.21;57;57;63.08;50;1;20;72;1
48.22;82;82;41.57;48;14;20;72;1
1.42;2;2;1.26;1;20;20;72;1
59.06;16;16;50.5;11;3;1;73;1
348.9;157;157;293.79;137;11;1;73;1
62.39;85;85;55.24;50;3;2;73;1
35.03;71;71;30.64;46;4;2;73;1
60.18;55;55;54.08;34;15;2;73;1
4.61;6;6;3.69;4;3;3;73;1
19.95;41;41;16.71;27;10;3;73;1
2.07;2;2;1.83;1;13;3;73;1
61.15;36;36;50.52;32;4;5;73;1
288.95;76;76;245.45;57;7;5;73;1
117.38;46;46;95.29;23;10;5;73;1
16.14;27;27;14.19;26;6;6;73;1
10.2;8;8;8.16;6;9;6;73;1
56.06;63;63;46.31;53;13;6;73;1
15.21;19;19;12.66;12;12;10;73;1
44.68;91;91;39.44;50;15;10;73;1
45.38;51;51;38.36;31;4;12;73;1
60.11;45;45;50.7;41;7;12;73;1
10.78;18;18;9.46;14;9;12;73;1
56.83;64;64;46.16;40;9;13;73;1
39.82;67;67;34.47;53;12;13;73;1
70.67;53;53;61.28;35;19;13;73;1
175.86;69;69;144.57;39;8;14;73;1
13.6;8;8;11.19;4;16;14;73;1
41.41;11;11;33.32;7;17;14;73;1
64.96;38;38;53.3;36;6;15;73;1
11.8;5;5;10.21;3;8;15;73;1
59.1;16;16;49.7;10;12;15;73;1
22.86;39;39;18.69;36;6;16;73;1
31.05;23;23;25.14;23;9;16;73;1
71.33;81;81;62.83;79;17;16;73;1
106.99;63;63;90.14;54;9;19;73;1
89.1;23;23;72.69;18;10;19;73;1
52.65;21;21;43.99;21;11;19;73;1
68.78;52;52;55.73;49;7;20;73;1
60.67;72;72;53.22;62;20;20;73;1
1.13;0;0;0.91;0;3;1;111;1
140.95000000000002;81;81;119.81;66;15;1;111;1
58.99;83;83;47.53;58;15;2;111;1
71.88;65;65;57.78;44;18;2;111;1
54.53;90;90;46.85;70;9;3;111;1
28.89;26;26;24.72;20;16;3;111;1
67.69;27;27;54.77;24;2;5;111;1
180.81;48;48;155.78;41;14;5;111;1
42.46;25;25;34.83;18;19;5;111;1
18.5;14;14;14.97;12;1;6;111;1
39.36;44;44;34.18;27;3;6;111;1
8.32;14;14;7.37;11;9;6;111;1
97.95;89;89;85.9;73;6;10;111;1
22.51;46;46;18.05;30;19;10;111;1
64.14;87;87;52.77;84;20;10;111;1
10.19;17;17;8.75;14;16;12;111;1
21.84;25;25;18.86;24;18;12;111;1
44.25;33;33;35.74;32;19;12;111;1
30.14;51;51;24.75;28;8;13;111;1
0.19;0;0;0.16;0;11;13;111;1
101.47;76;76;85.05;70;12;13;111;1
135.26;53;53;115.89;50;9;14;111;1
375.29;152;152;331.47;101;19;14;111;1
193.49;76;76;165.86;67;10;15;111;1
78.89;47;47;68.83;33;16;15;111;1
175.0;46;46;151.67;43;18;15;111;1
122.4;92;92;109.16;78;1;16;111;1
9.02;10;10;7.4;8;2;16;111;1
50.87;86;86;45.58;75;4;16;111;1
89.19;53;53;76.75;51;1;19;111;1
59.37;23;23;48.39;15;5;19;111;1
271.81;71;71;240.32;52;10;19;111;1
26.11;30;30;22.36;24;10;20;111;1
32.79;56;56;28.81;34;12;20;111;1
94.42;71;71;83.91;66;16;20;111;1
190.43;50;50;168.73;38;3;1;98;1
110.91;66;66;97.95;59;11;1;98;1
52.3;21;21;44.87;13;19;1;98;1
20.6;42;42;17.92;32;2;2;98;1
84.88;77;77;76.27;40;16;2;98;1
4.36;6;6;3.92;5;17;2;98;1
9.11;19;19;7.4;13;11;3;98;1
28.77;39;39;24.87;24;13;3;98;1
55.21;50;50;47.74;31;20;3;98;1
369.44;114;114;320.74;87;1;5;98;1
152.8;90;90;125.59;87;3;5;98;1
27.25;31;31;22.02;31;4;6;98;1
6.95;5;5;6.03;5;9;6;98;1
34.91;59;59;29.4;45;19;6;98;1
63.7;87;87;54.24;84;1;10;98;1
0.24;0;0;0.2;0;16;10;98;1
68.48;62;62;56.68;37;20;10;98;1
8.38;6;6;7.04;3;5;12;98;1
59.1;67;67;48.02;54;11;12;98;1
49.62;84;84;43.33;83;20;12;98;1
75.19;82;82;64.22;56;2;13;98;1
35.61;60;60;31.53;55;8;13;98;1
124.87;33;33;106.28;22;1;14;98;1
109.8;43;43;95.88;37;2;14;98;1
123.1;73;73;107.67;42;17;14;98;1
107.42;42;42;88.88;33;1;15;98;1
374.36;98;98;327.91;97;8;15;98;1
93.14;55;55;78.81;45;16;15;98;1
119.93;90;90;97.24;86;1;16;98;1
3.99;7;7;3.54;5;14;16;98;1
26.76;30;30;22.0;19;17;16;98;1
47.26;12;12;39.89;10;8;19;98;1
107.69;42;42;90.03;27;9;19;98;1
59.33;35;35;49.98;27;11;19;98;1
48.88;83;83;43.48;64;6;20;98;1
45.0;34;34;38.1;28;16;20;98;1
74.87;85;85;62.17;80;20;20;98;1
152.14;40;40;124.8;36;3;1;146;1
106.67;62;62;94.59;42;5;1;146;1
38.1;52;52;30.98;51;5;2;146;1
25.76;53;53;22.66;31;11;2;146;1
106.76;97;97;89.51;75;16;2;146;1
145.87;156;156;128.0;114;9;3;146;1
16.97;35;3;14.92;33;14;3;146;1
355.73;94;94;319.65;69;14;5;146;1
128.61;52;52;110.66;31;17;5;146;1
24.29;27;27;21.78;16;2;6;146;1
31.1;53;53;25.06;52;10;6;146;1
75.21;57;57;64.1;41;20;6;146;1
64.86;59;59;57.95;58;1;10;146;1
9.39;13;13;7.99;10;17;10;146;1
12.6;26;26;11.3;20;18;10;146;1
29.04;22;22;23.51;16;4;12;146;1
57.14;97;97;47.07;81;6;12;146;1
83.33;94;94;72.18;76;13;12;146;1
54.3;41;41;46.11;21;2;13;146;1
41.48;70;70;33.59;41;15;13;146;1
84.56;96;96;75.01;68;19;13;146;1
45.63;27;27;38.71;18;7;14;146;1
283.07;85;85;243.2;67;12;14;146;1
26.57;16;16;21.52;8;8;15;146;1
159.64;63;63;131.63;33;15;15;146;1
340.59;90;90;294.76;48;16;15;146;1
43.85;74;74;36.33;55;3;16;146;1
97.65;106;106;87.62;80;20;16;146;1
136.39;81;81;119.38;67;1;19;146;1
103.38;27;27;86.02;23;14;19;146;1
243.95;96;96;215.73;83;18;19;146;1
54.09;61;61;48.06;44;13;20;146;1
16.62;13;13;13.84;10;18;20;146;1
19.89;34;34;15.94;33;20;20;146;1
231.19;61;61;195.61;37;4;1;138;1
9.66;6;6;7.94;3;7;1;138;1
176.8;70;70;154.89;69;15;1;138;1
104.26;165;165;86.81;147;14;2;138;1
12.1;11;11;10.5;6;19;2;138;1
42.41;38;38;37.97;27;4;3;138;1
17.53;36;36;14.79;26;19;3;138;1
54.48;74;74;45.89;46;20;3;138;1
19.62;19;19;16.84;18;2;4;138;1
56.21;36;36;47.15;23;5;4;138;1
32.85;48;48;28.26;46;7;4;138;1
311.15;82;82;271.72;79;8;5;138;1
148.15;58;58;123.68;30;9;5;138;1
91.77;54;54;73.47;31;10;5;138;1
37.05;50;50;32.15;46;1;10;138;1
4.03;8;8;3.48;4;11;10;138;1
8.23;7;7;7.39;4;18;10;138;1
127.82;82;82;111.87;63;3;11;138;1
141.57;158;158;121.51;107;17;11;138;1
91.02;69;69;75.94;50;6;12;138;1
78.78;101;101;65.82;64;11;12;138;1
93.27;136;136;82.41;106;1;13;138;1
15.28;12;12;12.91;6;3;13;138;1
8.5;5;5;7.5;3;8;14;138;1
30.59;8;8;26.71;8;12;14;138;1
114.71;45;45;91.99;24;15;14;138;1
3.1;1;1;2.66;1;2;15;138;1
356.5;94;94;318.74;81;18;15;138;1
84.91;50;50;72.29;37;20;15;138;1
86.78;98;2;70.98;97;7;16;138;1
33.41;25;25;29.57;19;14;16;138;1
39.88;68;8;35.54;41;19;16;138;1
138.92000000000002;122;122;119.41;98;3;17;138;1
99.6;96;96;84.72;81;15;17;138;1
62.44;60;60;51.83;59;3;18;138;1
50.03;73;73;41.13;60;7;18;138;1
96.68;62;62;79.94;62;17;18;138;1
95.18;56;56;77.35;35;10;19;138;1
3.4;1;1;3.03;1;13;19;138;1
102.61;40;40;83.89;37;18;19;138;1
62.61;47;47;52.04;43;1;20;138;1
51.35;58;58;43.68;58;4;20;138;1
29.99;51;51;26.11;27;7;20;138;1
390.92;147;147;320.97;108;4;1;166;1
68.52;27;27;61.42;16;11;1;166;1
47.68;97;97;39.4;69;3;2;166;1
74.29;67;67;65.04;52;4;2;166;1
65.75;89;89;55.85;72;16;2;166;1
38.67;79;79;31.62;68;2;3;166;1
69.72;95;95;59.8;71;4;3;166;1
107.94;98;98;91.38;75;10;3;166;1
5.82;8;8;5.18;5;4;4;166;1
103.38;100;100;85.17;76;7;4;166;1
10.97;7;7;9.6;5;10;4;166;1
118.09;70;70;102.54;43;9;5;166;1
82.58;22;22;71.85;17;10;5;166;1
222.95;88;88;188.22;71;13;5;166;1
32.08;44;44;25.72;32;8;10;166;1
22.4;46;46;19.84;36;9;10;166;1
104.35;95;95;87.32;81;16;10;166;1
35.95;35;35;31.26;32;9;11;166;1
103.31;67;67;86.59;41;18;11;166;1
28.78;42;42;25.01;27;19;11;166;1
44.31;50;50;37.07;45;9;12;166;1
33.8;57;57;28.16;55;17;12;166;1
118.19;89;89;94.78;70;19;12;166;1
82.75;62;62;68.99;45;10;13;166;1
40.57;69;69;34.18;59;11;13;166;1
52.4;59;59;44.49;55;18;13;166;1
164.78;94;94;133.26;56;5;14;166;1
63.02;17;17;51.22;11;6;14;166;1
363.09;95;95;311.09;66;10;15;166;1
108.54;43;43;97.22;30;11;15;166;1
43.48;26;26;37.52;20;15;15;166;1
50.91;86;2;43.29;85;3;16;166;1
4.31;3;3;3.47;2;8;16;166;1
8.75;10;10;7.72;5;15;16;166;1
82.03;79;79;70.25;66;1;17;166;1
47.96;70;70;41.65;57;13;17;166;1
27.43;18;18;23.69;17;20;17;166;1
55.85;81;81;49.81;69;3;18;166;1
18.07;17;17;15.47;11;8;18;166;1
120.14;77;77;96.69;39;9;18;166;1
20.29;12;12;18.22;10;6;19;166;1
124.04;33;33;107.66;29;12;19;166;1
186.59;74;74;165.07;41;15;19;166;1
27.46;47;47;24.27;38;2;20;166;1
70.76;53;53;59.82;40;10;20;166;1
46.73;53;53;37.98;28;16;20;166;1
